developer_id,developer
0,SIE Santa Monica Studio
1,Omega Force
2,Capcom
3,Rockstar North
4,Konami
5,Naughty Dog
6,DMA Design
7,Argonaut Games
8,Rockstar Leeds
9,SCEA Santa Monica Studio
10,Edmund McMillen
11,Konami Computer Entertainment Japan
12,Rockstar San Diego
13,Reflections Interactive
14,Kojima Productions
15,Bluepoint Games
16,Traveller's Tales
17,Ubisoft Montreal
18,Rocksteady Studios
19,Crystal Dynamics
20,Stormfront Studios
21,Core Design Ltd.
22,Techland
23,Treyarch
24,The Fun Pimps
25,Avalanche Studios
26,Millenium Interactive
27,Ubisoft
28,Blizzard Entertainment
29,KCEJ / Kojima Productions
30,Ubisoft Quebec
31,Team Soho
32,Avalanche Software
33,Irem Software Engineering
34,Nintendo EAD
35,The Collective
36,"Hypnos Entertainment, Inc."
37,Luxoflux
38,Ready at Dawn
39,Monolith Productions
40,Shiny Entertainment
41,Neversoft Entertainment
42,Volition Inc.
43,Nintendo
44,Motion Twin
45,Koei Tecmo Games
46,Fatshark
47,IO Interactive
48,Team Ninja
49,Toys for Bob
50,LucasArts
51,Nicalis
52,Dimps Corporation
53,DC Studios
54,Sega
55,Dennaton Games
56,Capcom Production Studio 4
57,Heavy Iron Studios
58,Illusion Softworks
59,Helixe
60,Ubisoft Montpellier
61,TT Fusion
62,Flagship
63,Sucker Punch Productions
64,Acquire
65,Atari
66,Arkane Studios
67,Krome Studios
68,Free Lives Games
69,Tango Gameworks
70,Disney Interactive Studios
71,Remedy Entertainment
72,Capcom Production Studio 1
73,Climax Group
74,Genuine
75,VIS Entertainment
76,Helixe / Altron
77,Terminal Reality
78,Studio MDHR
79,989 Studios
80,Griptonite Games
81,Square Enix
82,1st Playable Productions
83,SCEA Bend Studio / Naughty Dog
84,HAL Laboratory
85,Klei Entertainment
86,Fall Line Studio
87,SingleTrac
88,Vicarious Visions
89,Namco
90,EKO Software
91,PlatinumGames
92,Ninja Theory
93,Blue Castle Games
94,Ubisoft Shanghai
95,Crytek
96,WayForward
97,Blitz Games
98,Westwood Studios
99,Ambrella
100,MTO
101,Nintendo SPD Production Group 1/Team Ninja
102,Project Sora
103,Eidos Montreal
104,Radical Entertainment
105,Ubisoft Sofia
106,Mouldy Toof Studios
107,3DO
108,KCET
109,Sony Computer Entertainment America
110,Griptonite Studio
111,Capcom Production Studio 3 / Flagship
112,High Voltage Software
113,Surreal Software
114,Infogrames
115,Insomniac Games
